"phenx","icd10_desc","combo","organ","subcombo"
"Regional enteritis and ulcerative colitis","Crohn's disease of both small and large intestine with rectal bleeding","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Crohn's disease of both small and large intestine with unspecified complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Crohn's disease of large intestine with intestinal obstruction","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Crohn's disease of large intestine with other complication","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Crohn's disease of small intestine with unspecified complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Left sided colitis with rectal bleeding","GI disorder","GI","Intestinal disease"
"Regional enteritis and ulcerative colitis","Other ulcerative colitis without complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative colitis, unspecified with other complication","GI disorder","GI","IBD"
"Abdominal symptoms","Generalized abdominal tenderness","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Generalized rebound abdominal tenderness","Abdominal s/s","GI","Pain"
"Biliary tract disease","Calculus of bile duct with cholangitis, unspecified, with obstruction","Biliary","GI",NA
"Biliary tract disease","Calculus of gallbladder and bile duct with acute cholecystitis with obstruction","Biliary","GI",NA
"Biliary tract disease","Calculus of gallbladder and bile duct with cholecystitis, unspecified, without obstruction","Biliary","GI",NA
"Biliary tract disease","Other cholangitis","Biliary","GI",NA
"Esophageal disorders","Esophagitis, unspecified with bleeding","Esophageal disorders","GI",NA
"Esophageal disorders","Esophagitis, unspecified without bleeding","Esophageal disorders","GI",NA
"Esophageal disorders","Gastro-esophageal reflux disease with esophagitis, with bleeding","Esophageal disorders","GI",NA
"Esophageal disorders","Gastro-esophageal reflux disease with esophagitis, without bleeding","Esophageal disorders","GI",NA
"Esophageal disorders","Other specified disease of esophagus","Esophageal disorders","GI",NA
"Nausea and vomiting","Cyclical vomiting syndrome unrelated to migraine","Abdominal s/s","GI","Nausea and vomiting"
"Other specified and unspecified gastrointestinal disorders","Chronic idiopathic constipation","Abdominal s/s","GI","Constipation"
"Other specified and unspecified gastrointestinal disorders","Drug induced constipation","Abdominal s/s","GI","Constipation"
"Other specified and unspecified gastrointestinal disorders","Irritable bowel syndrome with constipation","GI disorder","GI","IBS"
"Other specified and unspecified gastrointestinal disorders","Malabsorption due to intolerance, not elsewhere classified","GI disorder","GI","Intestinal disease"
