phenx,ICD10_desc,combo,Organ,count,Subcombo
Blindness and vision defects,"Blindness, one eye, unspecified eye",Blind/visual defects,Eyes & Ears,3,
Blindness and vision defects,"Deprivation amblyopia, bilateral",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,Diplopia,Blind/visual defects,Eyes & Ears,30,
Blindness and vision defects,"Generalized contraction of visual field, bilateral",Blind/visual defects,Eyes & Ears,3,
Blindness and vision defects,"Generalized contraction of visual field, left eye",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,"Generalized contraction of visual field, right eye",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,Glare sensitivity,Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,Heteronymous bilateral field defects,Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,"Homonymous bilateral field defects, left side",Blind/visual defects,Eyes & Ears,3,
Blindness and vision defects,"Legal blindness, as defined in USA",Blind/visual defects,Eyes & Ears,5,
Blindness and vision defects,"Other localized visual field defect, bilateral",Blind/visual defects,Eyes & Ears,17,
Blindness and vision defects,"Other localized visual field defect, left eye",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,Other subjective visual disturbances,Blind/visual defects,Eyes & Ears,4,
Blindness and vision defects,Other visual disturbances,Blind/visual defects,Eyes & Ears,64,
Blindness and vision defects,Psychophysical visual disturbances,Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,"Refractive amblyopia, left eye",Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,"Scotoma involving central area, bilateral",Blind/visual defects,Eyes & Ears,3,
Blindness and vision defects,"Scotoma of blind spot area, bilateral",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,"Sector or arcuate defects, bilateral",Blind/visual defects,Eyes & Ears,1,
Blindness and vision defects,"Sudden visual loss, right eye",Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,"Transient visual loss, bilateral",Blind/visual defects,Eyes & Ears,2,
Blindness and vision defects,"Transient visual loss, left eye",Blind/visual defects,Eyes & Ears,5,
Blindness and vision defects,"Transient visual loss, right eye",Blind/visual defects,Eyes & Ears,2,
